unit_code,timestamp,power,emissions
BW03,2026-05-01 02:05:00+10:00,381.5366,28.2652
BW04,2026-05-01 02:05:00+10:00,511.6655,37.9361
ADPBA1,2026-05-01 02:10:00+10:00,-0.001,0.0
ADPBA1L,2026-05-01 02:10:00+10:00,0.001,0.0
ADPPV1,2026-05-01 02:10:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:10:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:10:00+10:00,115.0,0.0
BARCALDN,2026-05-01 02:10:00+10:00,0.0,0.0
BDL01,2026-05-01 02:10:00+10:00,0.0,0.0
BDL02,2026-05-01 02:10:00+10:00,0.0,0.0
BW01,2026-05-01 02:10:00+10:00,495.1125,37.0624
BW02,2026-05-01 02:10:00+10:00,505.6596,37.8808
BW03,2026-05-01 02:10:00+10:00,364.6906,27.7317
BW04,2026-05-01 02:10:00+10:00,507.0268,37.8571
ADPBA1,2026-05-01 02:15:00+10:00,0.042,0.0
ADPBA1G,2026-05-01 02:15:00+10:00,0.042,0.0
ADPPV1,2026-05-01 02:15:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:15:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:15:00+10:00,111.3,0.0
BARCALDN,2026-05-01 02:15:00+10:00,0.0,0.0
BDL01,2026-05-01 02:15:00+10:00,0.0,0.0
BDL02,2026-05-01 02:15:00+10:00,0.0,0.0
BW01,2026-05-01 02:15:00+10:00,497.1878,36.8763
BW02,2026-05-01 02:15:00+10:00,506.3188,37.6077
BW03,2026-05-01 02:15:00+10:00,349.6269,26.5458
BW04,2026-05-01 02:15:00+10:00,506.7582,37.6747
ADPBA1,2026-05-01 02:20:00+10:00,0.059,0.0
ADPBA1G,2026-05-01 02:20:00+10:00,0.059,0.0
ADPPV1,2026-05-01 02:20:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:20:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:20:00+10:00,112.9,0.0
BARCALDN,2026-05-01 02:20:00+10:00,0.0,0.0
BDL01,2026-05-01 02:20:00+10:00,0.0,0.0
BDL02,2026-05-01 02:20:00+10:00,0.0,0.0
BW01,2026-05-01 02:20:00+10:00,495.6985,36.8982
BW02,2026-05-01 02:20:00+10:00,508.9311,37.7292
BW03,2026-05-01 02:20:00+10:00,334.9538,25.4407
BW04,2026-05-01 02:20:00+10:00,507.4174,37.6893
ADPBA1,2026-05-01 02:25:00+10:00,0.158,0.0
ADPBA1G,2026-05-01 02:25:00+10:00,0.158,0.0
ADPPV1,2026-05-01 02:25:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:25:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:25:00+10:00,112.2,0.0
BARCALDN,2026-05-01 02:25:00+10:00,0.0,0.0
BDL01,2026-05-01 02:25:00+10:00,0.0,0.0
BDL02,2026-05-01 02:25:00+10:00,0.0,0.0
BW01,2026-05-01 02:25:00+10:00,502.5589,37.0978
BW02,2026-05-01 02:25:00+10:00,512.3735,37.9543
BW03,2026-05-01 02:25:00+10:00,336.2722,24.9445
BW04,2026-05-01 02:25:00+10:00,510.9331,37.8445
ADPBA1,2026-05-01 02:30:00+10:00,0.001,0.0
ADPBA1G,2026-05-01 02:30:00+10:00,0.001,0.0
ADPPV1,2026-05-01 02:30:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:30:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:30:00+10:00,114.3,0.0
BARCALDN,2026-05-01 02:30:00+10:00,0.0,0.0
BDL01,2026-05-01 02:30:00+10:00,0.0,0.0
BDL02,2026-05-01 02:30:00+10:00,0.0,0.0
BW01,2026-05-01 02:30:00+10:00,496.6262,37.1322
BW02,2026-05-01 02:30:00+10:00,508.0766,37.9225
BW03,2026-05-01 02:30:00+10:00,333.0251,24.8728
BW04,2026-05-01 02:30:00+10:00,506.4164,37.8073
ADPBA1,2026-05-01 02:35:00+10:00,-0.024,0.0
ADPBA1L,2026-05-01 02:35:00+10:00,0.024,0.0
ADPPV1,2026-05-01 02:35:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:35:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:35:00+10:00,113.4,0.0
BARCALDN,2026-05-01 02:35:00+10:00,0.0,0.0
BDL01,2026-05-01 02:35:00+10:00,0.0,0.0
BDL02,2026-05-01 02:35:00+10:00,0.0,0.0
BW01,2026-05-01 02:35:00+10:00,493.5744,36.7984
BW02,2026-05-01 02:35:00+10:00,503.9506,37.6095
BW03,2026-05-01 02:35:00+10:00,327.1657,24.5343
BW04,2026-05-01 02:35:00+10:00,503.5843,37.5342
ADPBA1,2026-05-01 02:40:00+10:00,0.156,0.0
ADPBA1G,2026-05-01 02:40:00+10:00,0.156,0.0
ADPPV1,2026-05-01 02:40:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:40:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:40:00+10:00,113.3,0.0
BARCALDN,2026-05-01 02:40:00+10:00,0.0,0.0
BDL01,2026-05-01 02:40:00+10:00,0.0,0.0
BDL02,2026-05-01 02:40:00+10:00,0.0,0.0
BW01,2026-05-01 02:40:00+10:00,505.0981,37.1132
BW02,2026-05-01 02:40:00+10:00,514.9127,37.8635
BW03,2026-05-01 02:40:00+10:00,317.4731,23.9563
BW04,2026-05-01 02:40:00+10:00,514.5709,37.8372
ADPBA1,2026-05-01 02:45:00+10:00,0.004,0.0
ADPBA1G,2026-05-01 02:45:00+10:00,0.004,0.0
ADPPV1,2026-05-01 02:45:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:45:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:45:00+10:00,115.2,0.0
BARCALDN,2026-05-01 02:45:00+10:00,0.0,0.0
BDL01,2026-05-01 02:45:00+10:00,0.0,0.0
BDL02,2026-05-01 02:45:00+10:00,0.0,0.0
BW01,2026-05-01 02:45:00+10:00,500.8499,37.3835
BW02,2026-05-01 02:45:00+10:00,509.4438,38.0676
BW03,2026-05-01 02:45:00+10:00,301.6281,23.0074
BW04,2026-05-01 02:45:00+10:00,509.7368,38.0658
ADPBA1,2026-05-01 02:50:00+10:00,0.046,0.0
ADPBA1G,2026-05-01 02:50:00+10:00,0.046,0.0
ADPPV1,2026-05-01 02:50:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:50:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:50:00+10:00,111.7,0.0
BARCALDN,2026-05-01 02:50:00+10:00,0.0,0.0
BDL01,2026-05-01 02:50:00+10:00,0.0,0.0
BDL02,2026-05-01 02:50:00+10:00,0.0,0.0
BW01,2026-05-01 02:50:00+10:00,500.3372,37.2066
BW02,2026-05-01 02:50:00+10:00,512.1294,37.9643
BW03,2026-05-01 02:50:00+10:00,288.5176,21.9313
BW04,2026-05-01 02:50:00+10:00,511.5679,37.9543
ADPBA1,2026-05-01 02:55:00+10:00,0.069,0.0
ADPBA1G,2026-05-01 02:55:00+10:00,0.069,0.0
ADPPV1,2026-05-01 02:55:00+10:00,0.0,0.0
ANGAST1,2026-05-01 02:55:00+10:00,0.0,0.0
ARWF1,2026-05-01 02:55:00+10:00,103.0,0.0
